Title,Also Known As,Written By,Director,Cast,Genre,Network,Episodes,Release Dates,Release Years,Poster,Description
My Fantastic Funeral,-,Kim Eun-hyang,Park Sun-ho,"Kyung Soo-jin, Choi Woo-shik","Melodrama, romance",SBS,2,"September 26, 2015",2015,-,"My Fantastic Funeral (Korean: 나의 판타스틱한 장례식; RR: Naui pantaseutikhan jangnyesik) is a South Korean two-episodes television drama starring Kyung Soo-jin and Choi Woo-shik. It aired on September 26, 2015 as part of Chuseok Drama Special."
I Am the Mother Too,-,Lee Geun-young,Bae Tae-seop,"Lee In-hye, Woo Hee-jin, Alex Chu, Park Joon-hyuk, Moon Bo-ryung","Family, Melodrama",SBS TV,124,"May 28 –
November 23, 2018",2018,-,"A story of a woman who is a surrogate mother, overcoming hardships and hurts, finding true love and happiness, and how her maternal love transcends bloodline."
Secret Relationships,-,Lee Yoo-jin,Yang Kyung-hee,"Kim Jun-seo, Cha Sun-hyung, Cha Jung-woo, Kim Ho-young","BL, Romance, Workplace",Watcha,8,"February 27 –
March 21, 2025",2025,-,"Jung Da-on has a difficult financial background. This has shaped his life and occasionally causes misunderstandings with others who view his resourcefulness negatively. He works hard to overcome his past and create a brighter future for himself. He finds himself in a love triangle with two men, Shin Jae-min and Joo Sung-hyun. Jae-min tutored Da-on in high school. He has helped Da-on through difficult times, and Da-on trusts and relies on him. Da-on harbors lingering feelings for Jae-min. Sung-hyun is Da-on's work colleague. They initially have a strained relationship, but Sung-hyun develops feelings for Da-on and tries to be open and honest about his feelings. Da-on struggles with his feelings for both men. He is grateful to Jae-min for his previous support and still has feelings for him. At the same time, he is drawn to Sung-hyun's genuine and caring personality."
Super Rookie,New Employee,"Kim Ki-ho, Lee Sun-mi",Han Hee,"Eric Mun, Han Ga-in, Oh Ji-ho, Lee So-yeon",-,Munhwa Broadcasting Corporation,20,"March 23 –
May 26, 2005",2005,-,"Kang Ho (Eric Mun) is just an average guy who got a college degree in physical education from a second-rate, provincial university. Disheveled, unskilled, and unemployed, Kang Ho has wasted most of his life kickboxing and reading comic books, much to the frustration of his family and friends who think he's just a freeloader. He sends his resumes to many companies, but nobody gives him a shot because he has no experience and no apparent prospects. One day, Kang Ho decides to apply to the same prestigious company that his handsome, successful classmate Bong-sam (Oh Ji-ho) works at. He completely bungles the interview process, but thanks to a computer error, he gets hired as the number one recruit. Struggling in a job he's totally unqualified for, Kang Ho gets by with his enthusiasm and street smarts. His co-workers include Bong-sam, an overachiever trapped by his own ambitions; Mi-ok, a mousy, bespectacled contract worker (or ""temp"") who was dumped by Bong-sam; and Hyun-ah, the privileged daughter of a company executive."
Do Do Sol Sol La La Sol,-,Oh Ji-young,Kim Min-kyung,"Go Ara, Lee Jae-wook, Kim Joo-hun","Comedy, Romance",KBS2,16,"October 7 –
November 26, 2020",2020,-,"The energetic and cheerful pianist named Goo Ra-ra lost everything she had in a sudden, turning her lucky rich life into rags. While trying to rebuild her new life, she meets a mysterious, warm-hearted multi part-time worker named Sunwoo Joon. After their unpredictable meeting, Sunwoo Joon starts to help Goo Ra-ra by paying for her daily expenses, even building a small place for her piano lessons called Lala Land in order to help her get back on her feet. Together, they get involved with people that live in a small town (Eunpo City) in the countryside. This is the place where their secrets, pain, stories, and the reason behind Jeon Sun-woo's thoughtful acts towards Goo Ra-ra slowly start to leak out. Eventually Joon leaves for his treatment of cancer bidding an emotional farewell to Ra-ra through a letter and returns back after he is fully cured."
The Virtual Bride,-,"Moon Sun-hee, Yoo Nam-kyung","Lee Duk-gun, Park Man-young","Kim Dasom, Go Doo-shim, Ryu Soo-young","Comedy, Family",Korean Broadcasting System,12,"August 17 –
September 22, 2015",2015,-,"In order to boost her flagging popularity, formeridol group singerOh In-young (Kim Dasom) agrees to appear in a television reality show that pairs up fake mothers- and daughters-in-law. In-young's partner is Yang Choon-ja (Go Doo-shim), the matriarch of a long-standing traditional clan, and they end up hating each other on the show. But as fate would have it, the two later end up becoming mother and daughter-in-law for real."
Low Life (TV series),-,Kang Yun-seong,Kang Yun-seong,"Ryu Seung-ryong, Yang Se-jong, Im Soo-jung","Crime, Period drama",Disney+,11,"July 16 –
August 13, 2025",2025,-,"In 1323, a ship came from China to Japan carrying 8000 pieces of gold coin and 20,000 pieces of priceless ceramic pots was sunk in the Yellow Sea. Ever since then, treasure hunters had been tried to recover the gold coins and the priceless ceramic pots but they only managed to recover the pots so far not the gold coins. In 1970s, small time crook Gwan-seok and his nephew Hee-dong have been scraping by, supporting their family through petty scams and small-time theft. After being busted by the cops from stealing beers from a brewery, they are sent to prison and they befriend an antique dealer and appraiser named Song. In prison, the duo open a smuggling business to make money and gain privilege by bribing the guards. After being released in 1977, Hee-dong is wary of his life of crime after his girlfriend rejected his marriage proposal. They are tempted by an offer from Song who proposes they make a fortune by salvaging the remaining of the 20,000 ceramics buried deep in the sea off the coast ofSinanfrom the shipwreck. Song promises to pay them half-a-year worth of salary of civil servant for every single ceramic they salvage."
Landscape in My Heart,-,Park Jin-suk,Han Jeong-hye,"Heo Young-ran, Kim Cheol-ki, Park Mun-su, Im Yeo-won",-,KBS,-,"April 30 –
November 9, 2007",2007,-,"The show is set in a boarding house in the 1960s and 1970sand is about a woman named Han Soo-ryun (Heo Young-ran) who breaks up with her high school lover Park Dong-hyek, before realizing that she is pregnant with a baby girl, later named Bobae.Soo-ryun later marries Wo Jong-ku who cares for her more than Dong-hyek; a problem arises when she finds out that Bobae is her daughter."
Lovers of the Red Sky,"Hong Chun-gi, Red Sky",Ha Eun,Jang Tae-yoo,"Kim Yoo-jung, Ahn Hyo-seop, Gong Myung, Kwak Si-yang","Historical, Romance, Fantasy",SBS TV,16,"August 30 –
October 26, 2021",2021,-,"Set during the Dan dynasty era when ghosts, demons and gods are involved in human life, the story recounts the fateful relationship of a female painter (Kim Yoo-jung) and a blind astrologer (Ahn Hyo-seop). It begins at the sealing ceremony conducted at the 3rd year of King Seongjo's rule where they try to extract Ma Wang (Demon King: god of Death), who is residing in former King Yeongjong's body, and seal it inside a portrait of the King painted by a divine painter. Though they manage to seal the Demon King successfully with the help ofSamshin(goddesses of Life), the Demon King places a curse on the country that it will suffer from droughts and famine for years to come. He also curses the offspring of Ha Seong-jin (the officer who conducted the sealing ceremony) and Hong Eun-ho (the painter of the King's portrait). Both Ha Seong-jin's son, Ha Ram, and Hong Eun-ho's daughter, Hong Cheon-gi, are born on that very day. Cheon-gi is born blind due to the curse of Demon King."
Prince Hours,Goong S,"Lee Jae-soon, Do Young-myung",Hwang In-roi,"Seven, Heo Yi-jae, Kang Doo, Park Shin-hye","Comedy, Romance",Munhwa Broadcasting Corporation,20,"January 10 –
March 15, 2007",2007,-,"The story set in a universe whereKoreais aconstitutional monarchy. The Empress regnant, (Myung Se-bin), already in her thirties, is still unmarried and without an heir, which prompts the imperial court to look for a suitable Crown Prince. They encounter Lee Hoo (Seven), the son of the empress' cousin, and brings him into the palace where he begins to learn the life of a royal. However, another competitor arrives at the court: Lee Joon (Kang Doo), the son of another cousin of the Empress. They compete for the title of Crown Prince via a trial of several tasks to determine the worthy future Emperor of the country."
